date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:25	2795/2795	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202024%2009:42:18%20GMT	https://static.wixstatic.com/media/c837a6_dfc3490ba87d4c489795ab877aebd05d~mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/gradient.png	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/c837a6_dfc3490ba87d4c489795ab877aebd05d_mv2.png/v1/fill/w_49,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/gradient.png	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:26	521496/521496	---MCZ	200	added ('OK')	text/html	etag:W/%226a3c0cc2433c9f67c53d6ede407a2b0e%22	https://rppatelrutvik.wixstudio.io/rplresizer/services	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/services.html	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:26	2430/2430	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2010:03:26%20GMT	https://static.wixstatic.com/media/11062b_e6a34f65939746faa7e45b115c18313d~mv2.jpeg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Child%20Model.jpeg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_e6a34f65939746faa7e45b115c18313d_mv2.jpeg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Child%20Model.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:26	3568/3568	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:20%20GMT	https://static.wixstatic.com/media/11062b_1d4878b2b99c40f4bdc1a85a9aef862b~mv2.jpg/v1/crop/x_2140,y_185,w_3470,h_3470/fill/w_98,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Denim%20Fashion.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_1d4878b2b99c40f4bdc1a85a9aef862b_mv2.jpg/v1/crop/x_2140,y_185,w_3470,h_3470/fill/w_98,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Denim%20Fashion.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:27	3698/3698	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:20%20GMT	https://static.wixstatic.com/media/11062b_af3d9035b70546b2864b6def3a7c15dd~mv2.jpg/v1/crop/x_895,y_0,w_2223,h_2223/fill/w_118,h_118,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Studio%20Portrait%20%20.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_af3d9035b70546b2864b6def3a7c15dd_mv2.jpg/v1/crop/x_895,y_0,w_2223,h_2223/fill/w_118,h_118,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Studio%20Portrait%20%20.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:27	2917/2917	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2010:03:27%20GMT	https://static.wixstatic.com/media/11062b_0de510dfa99842afa127c5f1f597718f~mv2.jpeg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Mother%20and%20Child.jpeg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_0de510dfa99842afa127c5f1f597718f_mv2.jpeg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Mother%20and%20Child.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:27	2388/2388	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:21%20GMT	https://static.wixstatic.com/media/f41f356e8a08457dadc44c3074511cef.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Dog's%20Portrait.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/f41f356e8a08457dadc44c3074511cef.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Dog's%20Portrait.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:28	10811/10811	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202024%2009:42:21%20GMT	https://static.wixstatic.com/media/3ac1e0_317b75f623484d159546039c4d6617ec~mv2.png/v1/fill/w_80,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/image-resizer-01.png	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/3ac1e0_317b75f623484d159546039c4d6617ec_mv2.png/v1/fill/w_80,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/image-resizer-01.png	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:28	11728/11728	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Oct%202024%2009:42:22%20GMT	https://static.wixstatic.com/media/3ac1e0_a32351d1de9f42679abb5141202a254b~mv2.png/v1/fill/w_80,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/image-resizer-02.png	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/3ac1e0_a32351d1de9f42679abb5141202a254b_mv2.png/v1/fill/w_80,h_48,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/image-resizer-02.png	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:28	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	D:/Python/image%20resizer/rplresizer/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:29	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:29%20GMT	https://rppatelrutvik.wixstudio.io/sitemap.xml	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/sitemap.12.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:30	1998/1998	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:30%20GMT	https://rppatelrutvik.wixstudio.io/feed.xml	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/feed.13.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:31	1996/1996	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:31%20GMT	https://rppatelrutvik.wixstudio.io/${i.uri}	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/${i.14.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:31	134232/134232	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e331270f0cae703619bee5e2f14aca92%22	https://static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.e7839053.bundle.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/services/wix-thunderbolt/dist/thunderbolt-commons.e7839053.bundle.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:31	257230/257230	---M-Z	200	added ('OK')	application/javascript	etag:W/%220ff40699da955f89d1c797a7cbcbd740%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.760485a2.bundle.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/services/wix-thunderbolt/dist/main.760485a2.bundle.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:31	166/166	---M--	200	added ('OK')	application/javascript	etag:%227276034de396f62e15b7cc118d61c360%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.1d21f023.bundle.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:32	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:32	10751/10751	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e91b2616629791b375867c298dc846cc%22	https://static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/unpkg/react@18.3.1/umd/react.production.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:32	131835/131835	---M-Z	200	added ('OK')	application/javascript	etag:W/%227d4842a904e5d5d1b19240075998b111%22	https://static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/unpkg/react-dom@18.3.1/umd/react-dom.production.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:33	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:33%20GMT	https://rppatelrutvik.wixstudio.io/decodeURIComponent(e	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/decodeURIComponent(e.1b.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:33	9800/9800	---M-Z	200	added ('OK')	application/javascript	etag:W/%227f6a360bf47f00b1714dc34cc20ec4bd%22	https://static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/services/tag-manager-client/1.875.0/siteTags.bundle.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:36	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:35%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/c	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/c.1d.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:36	1998/1998	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:36%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/t	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/t.1e.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:37	3698/3698	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:29%20GMT	https://static.wixstatic.com/media/11062b_3c5532b99d6c44ec865467e7ce3f2d1a~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Family%20Breakfast.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_3c5532b99d6c44ec865467e7ce3f2d1a_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Family%20Breakfast.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:37	2455/2455	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:29%20GMT	https://static.wixstatic.com/media/11062b_1a89f96204194c3da0dba653b2cab28d~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Woman%20with%20Crossed%20Arms.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_1a89f96204194c3da0dba653b2cab28d_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Woman%20with%20Crossed%20Arms.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:37	2519/2519	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:30%20GMT	https://static.wixstatic.com/media/11062b_457ba8cffc0a458e87e2e8afe70746c3~mv2.jpg/v1/crop/x_1661,y_230,w_2212,h_2856/fill/w_78,h_101,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Young%20Businessman.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_457ba8cffc0a458e87e2e8afe70746c3_mv2.jpg/v1/crop/x_1661,y_230,w_2212,h_2856/fill/w_78,h_101,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Young%20Businessman.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:38	2522/2522	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:30%20GMT	https://static.wixstatic.com/media/11062b_6cf3b85cb8844f139c22017ccbdf6972~mv2.jpg/v1/crop/x_1958,y_0,w_2686,h_3469/fill/w_76,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Mature%20Businesswoman.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_6cf3b85cb8844f139c22017ccbdf6972_mv2.jpg/v1/crop/x_1958,y_0,w_2686,h_3469/fill/w_76,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Mature%20Businesswoman.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:38	2564/2564	---M--	200	added ('OK')	image/jpeg	date:Thu,%2024%20Oct%202024%2009:42:31%20GMT	https://static.wixstatic.com/media/11062b_5ff14a3624084658a0b1cc3d5bc06373~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Business%20Smile.jpg	D:/Python/image%20resizer/rplresizer/static.wixstatic.com/media/11062b_5ff14a3624084658a0b1cc3d5bc06373_mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Business%20Smile.jpg	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:39	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:39%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/robots.txt	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/robots.24.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:40	265/265	---M--	200	added ('OK')	text/xml	etag:W/%22109-IKw8YFJbJcArm/mpKt50vz9vhI4%22	https://rppatelrutvik.wixstudio.io/rplresizer/sitemap.xml	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/sitemap.xml	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:40	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:40%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/feed.xml	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/feed.26.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:41	1999/1999	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:41%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/${i.uri}	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/${i.27.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
15:33:42	1998/1998	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:42%20GMT	https://rppatelrutvik.wixstudio.io/rplresizer/decodeURIComponent(e	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/decodeURIComponent(e.28.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer/about)
